timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-05-01 01:30:00,29239.20,29250.00,28333.00,28488.30,69090.858,1682906399999,1982908489.69812,432006,29377.480,842579262.97010,0
2023-05-01 02:00:00,28488.20,28666.00,28392.50,28567.80,25567.688,1682908199999,730294252.79120,203287,12769.588,364812737.24800,0
2023-05-01 02:30:00,28567.80,28624.00,28510.00,28535.00,8575.696,1682909999999,245083620.55070,90792,3516.479,100509871.29960,0
2023-05-01 03:00:00,28535.00,28584.30,28420.00,28573.10,12593.520,1682911799999,358978980.11260,116812,6372.835,181691319.95600,0
2023-05-01 03:30:00,28573.00,28576.70,28525.00,28545.60,4950.027,1682913599999,141329263.81440,60994,2500.454,71392972.68240,0
2023-05-01 04:00:00,28545.60,28577.30,28491.00,28530.10,5506.125,1682915399999,157111300.52590,60930,2820.538,80493688.52300,0
2023-05-01 04:30:00,28530.10,28544.80,28470.10,28543.70,5152.604,1682917199999,146876660.13960,57702,2455.398,69996016.19160,0
2023-05-01 05:00:00,28543.70,28620.00,28518.40,28532.80,8697.938,1682918999999,248564547.53370,89816,4298.608,122847299.46860,0
2023-05-01 05:30:00,28532.80,28535.00,28200.00,28468.00,25798.377,1682920799999,732598240.94761,200728,11360.985,322708489.56500,0
2023-05-01 06:00:00,28467.90,28542.40,28435.60,28541.90,7587.420,1682922599999,216145970.85276,80360,4441.502,126541948.91656,0
2023-05-01 06:30:00,28542.00,28587.30,28522.50,28578.00,5157.315,1682924399999,147231443.32410,64893,2764.828,78935510.84760,0
2023-05-01 07:00:00,28578.00,28700.00,28559.80,28644.10,14362.941,1682926199999,411274375.89120,135372,7984.799,228646693.89300,0
2023-05-01 07:30:00,28644.00,28650.80,28579.20,28610.00,5728.518,1682927999999,163915279.82690,69888,2275.400,65110389.76540,0
2023-05-01 08:00:00,28609.90,28616.80,28529.90,28582.40,5810.859,1682929799999,166031455.34700,62896,2437.790,69656366.23530,0
2023-05-01 08:30:00,28582.30,28600.00,28537.40,28561.40,4027.121,1682931599999,115056444.92790,48077,2059.581,58849218.80500,0
2023-05-01 09:00:00,28561.40,28659.20,28540.60,28587.90,5540.123,1682933399999,158436028.33040,63669,3133.822,89622872.08460,0
2023-05-01 09:30:00,28588.00,28602.00,28473.50,28511.70,8153.313,1682935199999,232619774.59760,83096,3543.639,101107328.38950,0
2023-05-01 10:00:00,28511.70,28550.90,28497.10,28524.80,3879.458,1682936999999,110645713.53920,48825,2044.926,58328452.93190,0
2023-05-01 10:30:00,28524.90,28549.70,28464.60,28537.90,3986.782,1682938799999,113659384.26140,57726,2033.640,57984771.02530,0
